price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,yr_built
364000,4,1.75,2010,8625,1,0,0,4,7,1340,1957
875000,5,3.25,4230,21455,2,0,0,3,10,2720,1990
1406890,5,2.25,3580,16789,2,0,0,5,9,3580,1966
550000,3,1.75,1410,5000,1,0,0,4,7,810,1923
1240000,5,4,4410,14380,2,0,0,3,11,4410,2006
326100,2,1,880,7683,1,0,0,3,6,880,1942
560000,3,2.5,2070,12708,2,0,0,3,8,2070,1996
781500,4,2.5,3440,6332,2,0,0,3,10,3440,2001
685000,4,2,2340,6000,1,0,0,5,8,1270,1953
499950,3,1.75,1340,6250,1,0,0,4,7,1090,1941
502000,4,2.5,2680,5539,2,0,0,3,8,2680,2013
325000,3,1.5,1890,7650,1,0,0,5,7,1890,1966
335000,4,2.5,1750,8476,1,0,0,4,7,1240,1983
336500,4,2.5,2500,5264,2,0,0,3,7,2500,2003
535000,2,1,920,9000,1,0,0,1,6,920,1954
710000,6,3.5,3830,68825,2,0,0,3,9,3830,1995
635000,3,2.25,1940,7482,1,0,0,4,7,1240,1964
550000,5,2.75,2160,5720,1,0,0,5,7,1500,1950
560000,5,2.5,2880,9000,1,0,0,5,8,1440,1966
732000,3,2.5,1960,3060,2,0,0,3,8,1960,2010
319000,3,2.25,1800,9597,1,0,2,3,7,1200,1963
220000,4,2.5,2160,8005,2,0,0,3,7,2160,1993
4.00E+05,3,2.5,2020,3000,1,0,0,4,6,1010,1910
385000,3,2.25,1630,1598,3,0,0,3,8,1630,2008
329950,2,1,1140,5250,1.5,0,0,4,6,1140,1949
640500,3,1,1070,4505,1,0,2,4,7,1070,1919
4.00E+05,2,2,1050,1173,2,0,0,3,8,720,2004
599950,3,1,1680,7910,1,0,0,3,7,1680,1949
280000,2,1,880,5750,1,0,0,3,6,880,1939
520000,3,2.5,2160,4297,2,0,0,3,9,2160,1999
660000,3,2.5,2450,4332,2,0,0,3,8,2450,2010
370000,3,2.5,1070,1219,2,0,0,3,7,720,2004
263950,3,1.75,1700,11613,1,0,0,5,7,1180,1977
360000,3,1,1660,9600,1,0,0,3,7,1660,1963
2.00E+05,2,1.5,1360,1898,2,0,0,3,7,1360,1978
312500,4,2.5,2500,11983,1,0,0,3,7,1320,1984
262500,3,2,1130,7200,1,0,0,4,6,1130,1944
441500,3,2.5,2360,4670,2,0,0,3,7,2360,1998
615000,3,2.25,2300,8067,1,0,0,4,8,1300,1979
233500,3,1.5,1580,10517,1,0,0,4,6,1580,1957
370000,4,2,1640,7200,1,0,0,3,7,1640,1963
399900,4,2.5,2710,8127,2,0,0,3,8,2710,1994
449000,5,2.5,2570,61855,1,0,0,4,7,1470,1981
299950,4,2.25,1810,7601,1,0,0,3,7,1080,1986
476500,3,1,1060,8625,2,0,0,4,7,1060,1962
604000,4,1.75,1490,4485,1,0,0,3,8,1350,1960
1165000,4,3.75,3920,4500,3,0,0,3,8,3920,2013
252000,3,2,1370,7500,1,0,0,3,7,1370,1997
990400,3,2.5,2100,4097,2,0,0,3,9,2100,2008
206000,3,1,920,8400,1,0,0,3,7,920,1963
399000,4,1,1500,6388,1.5,0,0,4,7,1500,1951
395000,3,1.75,2030,217800,1,0,2,4,8,2030,1977
624950,3,2.5,2060,4730,2,0,0,4,8,2060,1994
455000,2,1,980,5000,1,0,0,4,7,980,1950
295000,2,1,1300,39639,1,0,0,4,6,1300,1960
490000,3,1,1910,8190,1,0,0,4,7,1010,1946
722500,5,2.25,3700,7207,1,0,1,5,8,1850,1970
387990,4,2.5,2640,5595,2,0,0,3,8,2640,2011
546000,4,2.5,2100,1397,3,0,0,3,8,1580,2008
560000,3,1.75,1930,6000,1,0,0,3,8,1130,1956
329950,3,1.75,1360,13320,1,0,0,4,7,1360,1985
940000,4,3,2720,11740,1,0,0,5,9,2720,1957
82000,3,1,860,10426,1,0,0,3,6,860,1954
